DDMMYYYY,Q
01/01/1995,3.137
02/01/1995,2.332
03/01/1995,1.895
04/01/1995,1.68
05/01/1995,2.317
06/01/1995,2.259
07/01/1995,4.228
08/01/1995,4.436
09/01/1995,6.6
10/01/1995,5.496
11/01/1995,4.357
12/01/1995,3.317
13/01/1995,3.157
14/01/1995,2.992
15/01/1995,2.907
16/01/1995,4.43
17/01/1995,4.241
18/01/1995,4.17
19/01/1995,3.328
20/01/1995,3.275
21/01/1995,3.635
22/01/1995,4.269
23/01/1995,4.52
24/01/1995,3.804
25/01/1995,3.187
26/01/1995,2.596
27/01/1995,2.194
28/01/1995,3.145
29/01/1995,3.073
30/01/1995,3.097
31/01/1995,4.435
01/02/1995,3.731
02/02/1995,3.063
03/02/1995,3.079
04/02/1995,2.726
05/02/1995,3.789
06/02/1995,5.814
07/02/1995,5.005
08/02/1995,3.803
09/02/1995,2.877
10/02/1995,2.178
11/02/1995,2.313
12/02/1995,2.176
13/02/1995,2.33
14/02/1995,2.982
15/02/1995,3.306
16/02/1995,3.091
17/02/1995,2.899
18/02/1995,2.953
19/02/1995,3.401
20/02/1995,3.186
21/02/1995,4.081
22/02/1995,4.86
23/02/1995,4.379
24/02/1995,3.541
25/02/1995,2.829
26/02/1995,2.389
27/02/1995,5.106
28/02/1995,5.693
01/03/1995,5.028
02/03/1995,4.036
03/03/1995,3.053
04/03/1995,2.579
05/03/1995,2.546
06/03/1995,2.085
07/03/1995,1.896
08/03/1995,1.698
09/03/1995,1.854
10/03/1995,3.613
11/03/1995,3.583
12/03/1995,2.966
13/03/1995,2.887
14/03/1995,2.946
15/03/1995,2.784
16/03/1995,3.094
17/03/1995,3.631
18/03/1995,3.104
19/03/1995,2.673
20/03/1995,2.13
21/03/1995,1.885
22/03/1995,1.82
23/03/1995,3.667
24/03/1995,3.279
25/03/1995,3.276
26/03/1995,2.985
27/03/1995,2.568
28/03/1995,2.089
29/03/1995,1.812
30/03/1995,1.944
31/03/1995,2.128
01/04/1995,2.012
02/04/1995,1.869
03/04/1995,2.063
04/04/1995,2.421
05/04/1995,4.906
06/04/1995,4.209
07/04/1995,3.404
08/04/1995,2.627
09/04/1995,2.128
10/04/1995,1.897
11/04/1995,1.788
12/04/1995,1.581
13/04/1995,1.382
14/04/1995,1.232
15/04/1995,1.111
16/04/1995,1.004
17/04/1995,0.989
18/04/1995,0.933
19/04/1995,0.846
20/04/1995,0.745
21/04/1995,0.662
22/04/1995,0.581
23/04/1995,0.549
24/04/1995,0.519
25/04/1995,0.485
26/04/1995,0.485
27/04/1995,0.485
28/04/1995,0.485
29/04/1995,0.485
30/04/1995,0.485
01/05/1995,0.486
02/05/1995,0.486
03/05/1995,0.485
04/05/1995,0.485
05/05/1995,0.485
06/05/1995,0.485
07/05/1995,0.484
08/05/1995,0.457
09/05/1995,0.413
10/05/1995,0.382
11/05/1995,0.365
12/05/1995,0.336
13/05/1995,0.326
14/05/1995,0.31
15/05/1995,0.295
16/05/1995,0.287
17/05/1995,0.249
18/05/1995,0.245
19/05/1995,0.257
20/05/1995,0.26
21/05/1995,0.248
22/05/1995,0.257
23/05/1995,0.252
24/05/1995,0.252
25/05/1995,0.263
26/05/1995,0.271
27/05/1995,0.365
28/05/1995,0.605
29/05/1995,1.123
30/05/1995,1.287
31/05/1995,1.343
01/06/1995,1.258
02/06/1995,1.126
03/06/1995,1.32
04/06/1995,1.277
05/06/1995,1.169
06/06/1995,1.094
07/06/1995,0.98
08/06/1995,0.792
09/06/1995,0.661
10/06/1995,0.575
11/06/1995,0.493
12/06/1995,0.443
13/06/1995,0.39
14/06/1995,0.368
15/06/1995,0.334
16/06/1995,0.318
17/06/1995,0.37
18/06/1995,0.429
19/06/1995,0.678
20/06/1995,0.766
21/06/1995,0.677
22/06/1995,0.6
23/06/1995,0.533
24/06/1995,0.475
25/06/1995,0.42
26/06/1995,0.369
27/06/1995,0.337
28/06/1995,0.305
29/06/1995,0.279
30/06/1995,0.243
01/07/1995,0.222
02/07/1995,0.214
03/07/1995,0.198
04/07/1995,0.182
05/07/1995,0.695
06/07/1995,1.636
07/07/1995,1.475
08/07/1995,1.244
09/07/1995,1.036
10/07/1995,0.809
11/07/1995,0.732
12/07/1995,0.698
13/07/1995,0.603
14/07/1995,0.54
15/07/1995,0.506
16/07/1995,0.454
17/07/1995,0.438
18/07/1995,0.408
19/07/1995,0.573
20/07/1995,1.712
21/07/1995,1.618
22/07/1995,1.463
23/07/1995,2.105
24/07/1995,1.869
25/07/1995,1.599
26/07/1995,1.356
27/07/1995,1.192
28/07/1995,1.069
29/07/1995,0.957
30/07/1995,0.784
31/07/1995,0.655
01/08/1995,0.572
02/08/1995,0.508
03/08/1995,0.442
04/08/1995,0.389
05/08/1995,0.347
06/08/1995,0.303
07/08/1995,0.268
08/08/1995,0.238
09/08/1995,0.213
10/08/1995,0.194
11/08/1995,0.177
12/08/1995,0.179
13/08/1995,0.172
14/08/1995,0.165
15/08/1995,0.161
16/08/1995,0.155
17/08/1995,0.148
18/08/1995,0.142
19/08/1995,0.137
20/08/1995,0.133
21/08/1995,0.129
22/08/1995,0.127
23/08/1995,0.125
24/08/1995,0.196
25/08/1995,0.236
26/08/1995,0.242
27/08/1995,0.246
28/08/1995,0.234
29/08/1995,0.242
30/08/1995,0.225
31/08/1995,0.215
01/09/1995,0.212
02/09/1995,0.214
03/09/1995,0.216
04/09/1995,0.212
05/09/1995,0.226
06/09/1995,0.217
07/09/1995,0.246
08/09/1995,0.351
09/09/1995,0.331
10/09/1995,0.315
11/09/1995,0.298
12/09/1995,0.279
13/09/1995,0.284
14/09/1995,0.276
15/09/1995,0.263
16/09/1995,0.245
17/09/1995,0.23
18/09/1995,0.219
19/09/1995,0.209
20/09/1995,0.201
21/09/1995,0.201
22/09/1995,0.214
23/09/1995,0.607
24/09/1995,1.086
25/09/1995,2.308
26/09/1995,2.588
27/09/1995,3.054
28/09/1995,2.679
29/09/1995,2.122
30/09/1995,1.972
01/10/1995,3.197
02/10/1995,4.865
03/10/1995,5.634
04/10/1995,5.579
05/10/1995,5.97
06/10/1995,6.487
07/10/1995,5.437
08/10/1995,4.406
09/10/1995,3.485
10/10/1995,2.694
11/10/1995,2.259
12/10/1995,2.396
13/10/1995,2.704
14/10/1995,2.28
15/10/1995,2.502
16/10/1995,3.496
17/10/1995,5.623
18/10/1995,4.948
19/10/1995,5.083
20/10/1995,4.339
21/10/1995,4.214
22/10/1995,5.567
23/10/1995,4.95
24/10/1995,5.319
25/10/1995,5.079
26/10/1995,5.44
27/10/1995,5.09
28/10/1995,4.163
29/10/1995,3.351
30/10/1995,2.868
31/10/1995,3.261
01/11/1995,2.597
02/11/1995,2.093
03/11/1995,1.789
04/11/1995,1.533
05/11/1995,1.342
06/11/1995,1.203
07/11/1995,1.296
08/11/1995,1.663
09/11/1995,1.68
10/11/1995,1.55
11/11/1995,1.419
12/11/1995,1.341
13/11/1995,1.233
14/11/1995,1.112
15/11/1995,0.849
16/11/1995,0.717
17/11/1995,0.622
18/11/1995,0.574
19/11/1995,0.541
20/11/1995,0.658
21/11/1995,1.048
22/11/1995,1.413
23/11/1995,2.681
24/11/1995,3.443
25/11/1995,4.127
26/11/1995,3.309
27/11/1995,2.574
28/11/1995,1.977
29/11/1995,1.658
30/11/1995,1.501
01/12/1995,1.456
02/12/1995,1.411
03/12/1995,1.365
04/12/1995,1.289
05/12/1995,1.16
06/12/1995,1.044
07/12/1995,0.916
08/12/1995,0.766
09/12/1995,0.719
10/12/1995,0.677
11/12/1995,0.627
12/12/1995,0.579
13/12/1995,0.534
14/12/1995,0.49
15/12/1995,0.459
16/12/1995,0.418
17/12/1995,0.393
18/12/1995,0.372
19/12/1995,0.348
20/12/1995,0.321
21/12/1995,0.306
22/12/1995,0.304
23/12/1995,0.312
24/12/1995,0.345
25/12/1995,0.326
